id,price,rooms,bathrooms,square_meters,zone,city,price_per_m2
164,75000,3,1,65,Costa Atlántica,Mar del Plata,1154
165,78900,3,2,56,Costa Atlántica,Mar del Plata,1409
166,94900,3,1,118,Costa Atlántica,Mar del Plata,804
167,95000,5,1,90,Costa Atlántica,Mar del Plata,1056
168,95000,3,2,103,Costa Atlántica,Mar del Plata,922
169,99900,1,1,70,Costa Atlántica,Mar del Plata,1427
170,110000,4,2,158,Costa Atlántica,Mar del Plata,696
171,125000,2,2,98,Costa Atlántica,Mar del Plata,1276
172,139000,2,2,82,Costa Atlántica,Mar del Plata,1695
173,155000,4,3,130,Costa Atlántica,Mar del Plata,1192
174,175000,4,1,150,Costa Atlántica,Mar del Plata,1167
175,180000,3,1,106,Costa Atlántica,Mar del Plata,1698
176,190000,6,4,157,Costa Atlántica,Mar del Plata,1210
177,195000,4,2,217,Costa Atlántica,Mar del Plata,899
178,195000,4,3,235,Costa Atlántica,Mar del Plata,830
179,200000,5,2,455,Costa Atlántica,Mar del Plata,440
180,205000,5,3,156,Costa Atlántica,Mar del Plata,1314
181,210000,5,3,185,Costa Atlántica,Mar del Plata,1135
182,210000,4,3,333,Costa Atlántica,Mar del Plata,631
183,217000,5,2,213,Costa Atlántica,Mar del Plata,1019
184,240000,6,3,233,Costa Atlántica,Mar del Plata,1030
185,245000,4,2,158,Costa Atlántica,Mar del Plata,1551
186,264900,5,4,230,Costa Atlántica,Mar del Plata,1152
187,269000,5,2,165,Costa Atlántica,Mar del Plata,1630
188,270000,3,3,300,Costa Atlántica,Mar del Plata,900
189,280000,4,2,160,Costa Atlántica,Mar del Plata,1750
190,289900,5,3,248,Costa Atlántica,Mar del Plata,1169
191,295000,3,2,170,Costa Atlántica,Mar del Plata,1735
192,335000,4,1,183,Costa Atlántica,Mar del Plata,1831
193,349000,4,3,262,Costa Atlántica,Mar del Plata,1332
194,350000,3,3,98,Costa Atlántica,Mar del Plata,3571
195,359900,4,2,180,Costa Atlántica,Mar del Plata,1999
196,360000,4,3,150,Costa Atlántica,Mar del Plata,2400
197,380000,4,1,220,Costa Atlántica,Mar del Plata,1727
198,420000,5,4,280,Costa Atlántica,Mar del Plata,1500
199,425000,5,2,300,Costa Atlántica,Mar del Plata,1417
200,510000,4,4,400,Costa Atlántica,Mar del Plata,1275
201,650000,6,3,376,Costa Atlántica,Mar del Plata,1729
202,650000,5,4,260,Costa Atlántica,Mar del Plata,2500
203,650000,5,5,300,Costa Atlántica,Mar del Plata,2167
204,1200000,6,6,378,Costa Atlántica,Mar del Plata,3175
205,1400000,7,4,522,Costa Atlántica,Mar del Plata,2682
206,25000,3,1,50,Costa Atlántica,Mar del Tuyu,500
207,30000,4,2,50,Costa Atlántica,Mar del Tuyu,600
208,30000,3,1,50,Costa Atlántica,Mar del Tuyu,600
209,31000,3,2,50,Costa Atlántica,Mar del Tuyu,620
210,31000,3,1,50,Costa Atlántica,Mar del Tuyu,620
211,32000,3,1,70,Costa Atlántica,Mar del Tuyu,457
212,32000,3,1,70,Costa Atlántica,Mar del Tuyu,457
213,32000,4,1,50,Costa Atlántica,Mar del Tuyu,640
214,32500,3,1,70,Costa Atlántica,Mar del Tuyu,464
215,33000,3,1,37,Costa Atlántica,Mar del Tuyu,892
216,35000,3,1,45,Costa Atlántica,Mar del Tuyu,778
217,35000,3,1,50,Costa Atlántica,Mar del Tuyu,700
218,35000,3,1,90,Costa Atlántica,Mar del Tuyu,389
219,35000,3,2,65,Costa Atlántica,Mar del Tuyu,538
220,36000,3,1,45,Costa Atlántica,Mar del Tuyu,800
221,37500,3,1,60,Costa Atlántica,Mar del Tuyu,625
222,38000,3,1,70,Costa Atlántica,Mar del Tuyu,543
